活动规则|Promotion Rules
删除详细类目|Detailed category deleted
返回|return
手机|Mobile phone
操作提示|Operation notification
收起提示|Collapse notification
请填写在第三方申请的有效的|Please fill in the application of valid third party
等配置信息|wait for info settings
为必填项|Is required
微信登录|Log in Wechat
申请地址在|Application address
微信开放平台|WeChat open platform
通过认证后需要绑定微信公众号|Required to bind Wechat public account after verification passed
点击进入|click to enter
微信公众平台|Wechat public platform
填写微信公众号|Fill in Wechat public account
版本|version
排序|Sorting
是否显示|Display/Hide
显示|display
关闭|close
申请地址|Application Address
立即申请|apply immediately
编辑|edit
重置|Reset
验证表单|Verification form
配置信息不能为空|Configuration information can not be empty
收起提示|Collapse notification
提示相关设置操作时应注意的要点|get the main point when writing relevant notification info
手机|Mobile phone
第三方登录插件|Log third-party plug-ins
操作提示|Operation notification
收起提示|Collapse notification
列表页展示了所有手机端支持的第三方登录插件|List shows all support mobile device third-party login plug-in
安装插件时需先到各第三方应用中申请|You are required to apply for each third-party account first before installing plug-in
其中微信登录需要申请微信公众号并在微信客户端中方可使用|for Wechat login you need to apply for Wechat public account and able to use in Wechat client terminal
编辑|edit
卸载|Uninstall
安装插件|Install plug
版本|version
收起提示|Collapse notification
提示相关设置操作时应注意的要点|get the main point when writing relevant notification info
手机|Mobile phone
操作提示|Operation notification
收起提示|Collapse notification
请填写在第三方申请的有效的|Please fill in the application of valid third party
等配置信息|wait for info settings
为必填项|Is required
微信登录|Log in Wechat
申请地址在|Application address
微信开放平台|WeChat open platform
通过认证后需要绑定微信公众号|Required to bind Wechat public account after verification passed
点击进入|click to enter
微信公众平台|Wechat public platform
版本|version
作者|Author
排序|Sorting
是否显示|Whether
显示|display
关闭|close
申请地址|Application Address
立即申请|apply immediately
安装|installation
重置|Reset
验证表单|Verification form
配置信息不能为空|Configuration information can not be empty
收起提示|Collapse notification
提示相关设置操作时应注意的要点|get the main point when writing relevant notification info
请输入用户名|please enter user name
不能输入特殊字符|You can not enter special characters
用户名|username
手机号|phone number
邮箱|email
请输入密码|Please enter your password
请输入密码|Please enter your password
绑定已有帐号|Binding existing account
没有帐号|no account
您可以|you can
自动绑定|Automatic Binding
请输入图形验证码|Please enter the captcha code
请输入图形验证码|Please enter the captcha code
请输入手机号|Please enter phone number
手机号格式不正确|Phone number format is incorrect
请输入手机号|Please enter phone number
请输入短信验证码|Please enter the verification code SMS
请输入短信验证码|Please enter the verification code SMS
获取短信验证码|obtain SMS verification code
确定|confirm
修正头像宽高|Avatar width and height correction
请输入图片验证码|Please enter the image verification code
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
发送频繁|Send frequent
刷新图片验证码|Refresh image verification code
获取短信验证码|obtain SMS verification code
重新获取|Reacquire
请输入新用户名|Enter a new username
不能输入特殊字符|You can not enter special characters
新用户名|new user name
手机号|phone number
邮箱|email
请输入新用户名登录密码|Enter a new username password
请输入新用户名登录密码|Enter a new username password
确定|confirm
注意事项|Precautions
重新绑定已有帐号|Rebind existing account
会将原帐号数据合并至新帐号|The original account data will be merged into a new account
将原帐号所有数据删除|All original account data will be deleted
原帐号的关系|The relationship between the original account
如推荐|As recommended
不再有效|It is no longer valid
此项操作不可恢复|This operation can not be restored
请谨慎操作|Proceed with caution
请输入用户名|please enter user name
请输入|please enter
位的用户名|username
请输入用户名|please enter user name
请设置密码|Please set a password
密码范围在|Password range
请输入密码|Please enter your password
请再输入一次密码|Please re-enter the password
两次输入的密码不一致|Passwords do not match
再次输入密码|Enter the password again
官方地图|Official Map
提货码|Pickup code
提货时请出示该提货码|Please show pickup code when pickup
提货时间|pickup time
实景图片|Real picture
门店营业时间|Store opening hours
查看地图|check the map
引用|Quote
所在地区|Region
请选择区域|Please select region
到店时间|Time to the shop
默认为一天后的当前时间|default to next day same time
手机号码|mobile number
手机号码将获取取货码订单|the phone number will be used to get order number
到店时间|Time to the shop
默认为一天后的当前时间|default to next day same time
手机号码将获取取货码订单|the phone number will be used to get order number
选择该门店|The selection of stores
查看路线|View route
确定|confirm
该区域还没有门店列表哦|The region is also a list of stores oh no
地区选择|Select area
快捷导航|Quick Navigation
地区选择|Select area
选择门店|Select store
提交|submit
县级|district level
需要支付|need to pay
在线支付方式|Online Payment
需要支付|need to pay
在线支付方式|Online Payment
原价|Original Price
套餐价|Package price
已优惠|discounted
起止时间|Start and end time
简单描述|simple description
立即购买|Buy now
此处没有内容|There is no content here
快捷导航|Quick Navigation
商品详情相册切换|change Product Details album
店铺信息商品滚动|store info product ticker
自营|Self-employed
市场价|Price
销量|Sold
库存|in stock
预售规则|Pre-sale rules
定金|deposit
尾款|Balance due
预售人数|The number of pre-sale
所在地区|Region
默认仓库|The default warehouse
已选|selected
服务|service
发货并提供售后服务|Delivery and provide after-sales service
发货并提供售后服务|Delivery and provide after-sales service
货到付款|Cash on delivery
天退货|Day return
极速达|Speed ​​up
用户评价|User rating
好评率|Positive feedback
人评论|People Comments
有图评价|comment with image
全部评价|Total
已经有|already have
人关注|Followers
商品|products
服务|service
时效|time limit
爆款新品|New explosion models
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
进入店铺|enter a shop
上拉查看图文详情|Scroll up to check photo details
下拉回到商品信息|scrolll down go back to product info
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
此处没有内容|There is no content here
商品属性弹出层|product attribute pop-up layer
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
数量|quantity 
普通商品可修改数量|You can modify the number of general products
活动已结束|The event is over
立即预约|book now
商品属性弹出层|product attribute pop-up layer
仓库|warehouse
关闭|close
悬浮|float
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
收藏|Collect
店铺|Store
活动已结束|The event is over
立即预约|book now
立即预约|book now
悬浮|float
预售说明|pre-sale description
预售说明|pre-sale description
定金付款后|After the deposit payment
若非|If not
或商家责任|Or business liability
根据|according to
售后政策|After-sale policy
和客服判断为准|at customer service discretion
定金恕不退还|Non-refundable deposit
预售结束时|pre-sale ended
由系统自动更新确认尾款价格|remaining balance price is automatically confirmed
无论下单顺序先后均可享受相同的预售价格|the same pre-sale price applied regardless the order of order placement
预售结束后|After pre-sale ended
请至|Go to
我的订单|My Order
内付尾款|to pay the balance due
尾款开始支付时|Start paying the balance due time
请在要求的时间|Make time required
内支付尾款|to pay the balance due
若超时将自动关闭订单|If pass the due date, the order will terminate automatically
且定金不予退还|And a non-refundable deposit
赠品不予赠送|gift will be offered
请注意预售结束时间|Please note pre-sale end time
并及时支付尾款|and pay the balance due on time
对此我们会有提醒|we remind you regarding to this matter
如果提供赠品|If gift is offered
赠品赠送依据的排序按照定金付款成功时间来计算|the order of gift dispatchment base on deposit completed time
而不是定金下单时间|not the time of deposit note generated time
发货时间请以预售商品详情页中的|please note dispatch date within the pre-sale description 
发货时间|Delivery time
描述为准|based on info in the description
预售说明|pre-sale description
服务信息|Service Information
服务说明|Service Description
货到付款|Cash on delivery
支持送货上门后再收款|Support payment after delivery 
支持现金|support cash payment
机刷卡等方式|Credit card machine, etc.
天退货|Day return
自实际收货日期的次日起|The next day from the actual date of receipt
天内|Days
商品完好|Goods in good condition
可进行无理由退换货|Can be no reason to return
极速达|Speed ​​up
上午下单|Order in the morning
下午送达|Afternoon dispatch
服务信息|Service Information
地区选择|Select area
地区选择|Select area
仓库|warehouse
快捷导航|Quick Navigation
首次加载|First loads
相册|Gallery
点选可选属性或改变数量时修改商品价格的函数|when click optional attribute or change quantity changes price function
库存|in stock
您最多可预约|You can be reserved up
件商品|Items
接收返回的信息|Receiving the returned information
属性图片|attribute picture
用户购买的数量|quantity of users to buy
更改数量的同时显示|display while changing the amount
获取被选中|Get selected
该地区暂不支持配送|Delivery is not availbale in the region
总价|Total price
您最多可预约|You can be reserved up
件商品|Items
点击弹出搜索层|Click the Search pop-up layer
默认选择属性弹窗|The default selection Properties pop
服务|service
详情上拉等|scroll up for details 
分页器|Pager
广告位|Advertising
广告位|Advertising
更多|More
抢先订|be the first
热门分类|Top Categories
新品发布|new product release
快捷导航|Quick Navigation
产品|product
综合|All
价格|price
新品|New
筛选|filter
已结束|ended
距离开始|From the start
剩余|remain
此处没有内容|There is no content here
关闭|close
全部|All
即将开始|About to start
预约中|in reservation
已结束|ended
全部|All
清空选项|Clear Options
确定|confirm
快捷导航|Quick Navigation
请输入搜索关键字|please enter keyword to search
产品|product
筛选|filter
已结束|ended
距离开始|From the start
剩余|remain
此处没有内容|There is no content here
关闭|close
全部|All
即将开始|About to start
预约中|in reservation
已结束|ended
全部|All
清空选项|Clear Options
确定|confirm
快捷导航|Quick Navigation
请输入搜索关键字|please enter keyword to search
按店铺显示商品|sort by store
采购列表|Procurement List
无属性|No property
购物车什么也没有|Nothing in cart
去逛逛|Go shopping
全选|select all
金额总计|Amounting
不含运费|Free shipping
去下单|To the next one
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
手机号码格式不正确|The phone number is not formatted correctly
请输入联系电话|Please enter contact phone number
详细信息|details
详细地址|Address
请输入详细地址|Please enter the full address
是否开发票|Invoice required?
不开发票|Not invoiced
普通发票|Ordinary invoices
增值发票|Tax invoices
发票抬头|Invoice
发票抬头|Invoice
纳税人识别号|Taxpayer Identification Number
纳税人识别号|Taxpayer Identification Number
支付方式|payment method
线下支付|Offline payments
备注|Remark
取消|cancel
确定|confirm
快捷导航|Quick Navigation
批发首页|Wholesale Home
发票信息|Invoice Information
提交订单|Submit Order
提交订单|Submit Order
点击提交按钮|Click on the submit button
获取购物车信息|Gets shopping cart information
获取|Obtain
联系人信息|contact information
联系人|Contact
手机号|phone number
收货地址|Shipping address
不能为空|Can not be empty
获取商品信息|Obtain product information
请选择商品|Please Select
提交订单之前|Prior to order submission
检查购物车数量是否符合要求|Check the number of shopping cart for compliance
不能小于最小数量|Not less than the minimum number of
购物车计算|Shopping Cart computing
选择所有列表|Select all list
更新购物车数据|Update shopping cart data
检查列表是否需要全选|check the list if select all is neededd
商品属性|product attribute
全选|select all
更新页面购物车数据|Update shopping cart data
门店|Stores
至少选中一个商品|Select at least one product
门店|Stores
门店|Stores
加载|load
删除购物车商品|Delete Cart
已删除|deleted
请登录后关注|Please subscribe after login
立即登录|log in immediately
取消|cancel
购物车商品数量加减|product qty add/substract in a cart
起批量|piece wholesale
小于|Less than
本商品所有属性数量|all properties for this product
更新购物车数量|Update cart quantity 
不能小于最小数量|Not less than the minimum number of
不能超过限购|Can not exceed the limit
限购|Purchase
不能超过最大数量|Not exceed the maximum number of
更新购物车数量|Update cart quantity 
该商品不能增减|This product can not increase or decrease
直接修改购物车数量|Directly modify the number of shopping cart
起批量|piece wholesale
小于|Less than
本商品所有属性数量|all properties for this product
不能小于最小数量|Not less than the minimum number of
不能小于最小数量|Not less than the minimum number of
不能超过最大数量|Not exceed the maximum number of
不能超过限购数量|Not exceed the limit
更新购物车数量|Update cart quantity 
多选|Multiple choice
多选只点击单选按钮|Just click on the Single choice button multiple choice
全选|select all
全不选|unselect all
选择所有属性|Select all properties
选择|select
判断选中状态|determine selected status
批发价|Wholesale price
原价|Original price
起批量|piece wholesale
实力保障|Strength of protection
小时发货|Hour(s) dispatch
包邮|Free shipping
包退|guarantee for returns
件可售|Pieces for sale
无属性|No property
库存|in stock
上拉查看图文详情|Scroll up to check photo details
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
此处没有内容|There is no content here
悬浮|float
进货单|Purchase List
加入进货单|Add to basket
立即订购|order now
暂无权限|No permission
悬浮|float
快捷导航|Quick Navigation
批发首页|Wholesale Home
初始化|initialization
属性操作|Attribute operation
点击|Click on
加减号|Plus and minus signs
判断值是否在范围内|Determining whether a value in the range of
采购商品库存不足|Procurement Stock is not enough
赋值|Assignment
点击输入框|Click the input box
输入|Entry
判断值是否在范围内|Determining whether a value in the range of
采购商品库存不足|Procurement Stock is not enough
添加商品|Adding goods
请先登录|please log in first
你还没有登录|You are not logged in
请先登录|please log in first
确定|confirm
取消|cancel
请选择您需要购买的商品|Please select the items you need to buy
您订购的商品少于最小起订量|Your order qty is less than MOQ
添加成功|Added successfully
相册|Gallery
详情上拉等|scroll up for details 
批发搜索|Wholesale Search
分页器|Pager
分类列表|Category List
限时采购|Limited Time Purchase
限时采购|Limited Time Purchase
起批量|piece wholesale
更多批发|More wholesale
起批量|piece wholesale
起批量|piece wholesale
成交量|Volume
快捷导航|Quick Navigation
批发首页|Wholesale Home
搜索|search
请输入关键字|Please enter key words
商品滚动|Scroll goods
商品搜索|product search
搜索|search
起批量|piece wholesale
起批量|piece wholesale
成交量|Volume
此处没有内容|There is no content here
快捷导航|Quick Navigation
批发首页|Wholesale Home
店铺街分类|Store Street Category
切换到第一个|Switch to the first
速度为|Speed ​​of
搜索|search
请输入关键字|Please enter key words
已完成|completed
未确认|unconfirmed
订单号|order number
联系人|Contact
联系方式|contact details
收货地址|Shipping address
是否开发票|Whether invoicing
增值税发票|VAT invoices
普通发票|Ordinary invoices
不需要发票|It does not require the invoice
发票抬头|Invoice
纳税人识别码|Taxpayer identification number
支付方式|payment method
其他备注|Other Remarks
款商品|item(s)
合计|total
已完成|completed
设置为完成|Set to complete
删除|delete
还没有订单哦|Oh no orders
快捷导航|Quick Navigation
批发首页|Wholesale Home
订单列表|Order List
删除订单|Delete Orders
是否删除此订单|Remove this order
确定|confirm
取消|cancel
确认订单|Confirm Order
是否确认订单已完成|Are you sure order is complete
确定|confirm
取消|cancel
询问框|Query box
请确认微信支付是否已完成|Please confirm whether Wechat payment has been completed
已完成支付|Completed payment
支付遇到问题|problem encountered in payment
商品|products
商品|products
店铺搜索|Store Search
搜索|search
搜索|search
店铺|Store
热门搜索|popular searches
最近搜索|Recent Searches
暂无搜索记录|No search records
点击关闭搜索|Close search
关闭|close
禁用自动提示|Disable automatically prompts
去除空格|White spaces
清除搜索记录|Clear search history
暂无搜索记录|No search records
相关|Related
搜索关键词|search keyword
搜索|search
用于直接分享搜索结果页|For the direct sharing of search results page
搜索|search
店铺|Store
用于直接分享搜索结果页|For the direct sharing of search results page
原页面为异步加载|Original page is loaded asynchronously
直接分享无效|Direct share invalid
商品|products
商品|products
店铺搜索|Store Search
搜索|search
热门搜索|popular searches
最近搜索|Recent Searches
暂无搜索记录|No search records
点击关闭|Click to close
清除搜索记录|Clear search history
暂无搜索记录|No search records
商品|products
详情|Details
评论|comment
全部评价|Total
好评|Good reviews
中评|Average
差评|Bad review
有图|There are pictures
全部评价|Total
判断商品属性|determine product attributes
是否是购买的商品|Whether it is purchased
评论图片|Photos
管理员回复|Admin Reply
回复|Reply
此处没有内容|There is no content here
好评|Good reviews
判断商品属性|determine product attributes
是否是购买的商品|Whether it is purchased
评论图片|Photos
管理员回复|Admin Reply
回复|Reply
此处没有内容|There is no content here
中评|Average
判断商品属性|determine product attributes
是否是购买的商品|Whether it is purchased
评论图片|Photos
管理员回复|Admin Reply
回复|Reply
此处没有内容|There is no content here
差评|Bad review
判断商品属性|determine product attributes
是否是购买的商品|Whether it is purchased
评论图片|Photos
管理员回复|Admin Reply
回复|Reply
此处没有内容|There is no content here
有图|There are pictures
判断商品属性|determine product attributes
是否是购买的商品|Whether it is purchased
评论图片|Photos
管理员回复|Admin Reply
回复|Reply
此处没有内容|There is no content here
正在加载|loading
快捷导航|Quick Navigation
限时秒杀|Time limit deal
首次加载|First loads
切换|Switch
初始块|The initial block
页面|page
的索引|index of
显示加载完成|Display loading completed
评论图片|Photos
正在加载|loading
没有更多了|No more
商品|products
详情|Detail
评论|comment
距开始还剩|until start
距结束还剩|until end
已结束|ended
销量|Sold
库存|in stock
限购|Purchase
数量|quantity 
用户评价|User rating
好评率|Positive feedback
人评论|People Comments
有图评价|comment with image
全部评价|Total
上拉查看图文详情|Scroll up to check photo details
下拉回到商品信息|scrolll down go back to product info
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
此处没有内容|There is no content here
底部导航位置不可移动|Bottom navigation position immovably
客服|Customer Service
收藏|Collect
开抢后|after snap up started
秒杀活动结束|End flash deals
已抢完|already sold out
即将开始|About to start
已抢购|It has snapped up
立即抢购|Immediately snapped up
立即抢购|Immediately snapped up
商品属性弹出层|product attribute pop-up layer
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
开抢后|after snap up started
秒杀活动结束|End flash deals
已抢完|already sold out
即将开始|About to start
已抢购|It has snapped up
立即抢购|Immediately snapped up
商品属性弹出层|product attribute pop-up layer
快捷导航|Quick Navigation
限时秒杀|Time limit deal
点选可选属性或改变数量时修改商品价格的函数|when click optional attribute or change quantity changes price function
不能超过限购数量|Not exceed the limit
接收返回的信息|Receiving the returned information
属性图片|attribute picture
用户可购买的数量|Amount can be purchased
更改数量的同时显示|display while changing the amount
该地区暂不支持配送|Delivery is not availbale in the region
已抢完|already sold out
倒计时|Countdown
获取|Obtain
详情上拉等|scroll up for details 
明日开场|Opening tomorrow
即将开始|About to start
抢购中|Panic buying
已结束|ended
分页器|Pager
秒杀倒计时|Countdown
全场爆款|The audience burst models
限时抢购|Time limit buy
距开始|From the start
距结束|From the end
已结束|ended
已抢完|already sold out
限量|Limit
准时开抢|Rush to open on time
已抢|sold out
取消提醒|Cancel reminder
提醒我|remind me
即将开始|About to start
去抢购|To buy
已结束|ended
还没有活动哦|Oh no activity
快捷导航|Quick Navigation
正在加载|loading
秒杀轮播|Flash Deal Carousel
异步数据|Asynchronous data
倒计时|Countdown
加载更多|load more
正在加载|loading
没有更多了|No more
提醒|remind
取消提醒|Cancel reminder
设置提醒成功|Set reminders success
提醒我|remind me
秒杀提醒已取消|Flash deal alert dismissed
您可能会抢不到哦|You may miss the deal
您还没有登录|You are not logged in
确定|confirm
取消|cancel
商品|products
详情|Detail
评论|comment
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
此处没有内容|There is no content here
快捷导航|Quick Navigation
限时秒杀|Deal time limit
切换|Switch
享受更加流畅的商城体验|Enjoy smoother mall experience
赶快下载多商户|Quickly download multiple businesses
立即下载|download immediately
商品|products
店铺搜索|Store Search
分页器|Pager
更多|More
更多|More
限时|Limited Time
秒杀|Flash Deals
更多|More
查看更多|see more
更多|More
找相似|Find similar
热门大牌|Hot brand
最全最时尚的大牌汇集|The most complete collection of the most fashionable big
更多|More
导航按钮|Navigation buttons
更多|More
查看更多|see more
找相似|Find similar
客户端|Client
触屏版|Touch-screen version
电脑版|PC version
版权所有|all rights reserved
并保留所有权利|All Rights Reserved
正在加载|loading
回到顶部|back to the top
顶部|top
首页|Home
分类|classification
搜索|search
购物车|shopping cart
中心|center
社区|community
悬浮菜单|Float Menu
浏览记录|History
刚刚您在浏览|recently browsed
衣服|clothes
相关产品|Related Products
继续浏览|Continue
关闭|close
滑动跳转|Slide Jump
查询城市信息|City Information Query
定位失败|Positioning failed
请启用位置服务|Please enable location services
有浏览商品则底部显示提示|show at bottom if there is browse history
浏览历史隐藏|Browsing history Hide
获取|Obtain
高度|height
赋值给背景|Assigned to the background
页面发生变化时触发事件|A trigger event occurs when the page changes
立即关注|Immediate subscribe
加载更多|load more
正在加载|loading
没有更多了|No more
个人中心|Profile
我的收藏|my collection
我的关注|my followers
我的订单|My Order
资金管理|Money management
购物车|shopping cart
我的分享|My Share
个人中心|Profile
精选类目|Featured Category
店铺街|Market
微筹|WeiChou
品牌街|Brand Street
专题汇|Topic Report
积分换购|Points redemption
最新团购|The latest Group Buy
促销活动|Promotions
新闻资讯|news
社区服务|community service
超值礼包|Value packs
拍卖活动|Auction
我的微店|My WeShop
拼团活动|Group Buy Promotions
砍价活动|Bargain
批发|wholesale
秒杀活动|flash deals
优惠券|coupon
红包|Red envelope
预售|Pre-sale
扫码支付|Scan code to pay
类别|category
热门|Popular
地区|area
距离|distance
附近|nearby
返回默认|Return to default
店铺列表|Store List
已经有|already have
人关注|Followers
距离|distance
已关注|subscribed
关注|subscribe
商品列表|Product List
商品列表|Product List
此处没有内容|There is no content here
店铺列表|Store List
正在加载|loading
快捷导航|Quick Navigation
已关注店铺|Subscribed Stores
首次加载|First loads
处理|process
定位失败|Positioning failed
点击分类|Click classification
正在加载|loading
没有更多了|No more
点击省份|Click provinces
循环遍历|Loop through
点击地区|Click on a region
点击排序|Click to sort
已关注|subscribed
关注|subscribe
请登录后关注该店铺|Please login to subscribe to this store
立即登录|log in immediately
取消|cancel
顶部|top
滚动|scroll
商品搜索|product search
分类|classification
综合|All
新品|New
销量|Sold
价格|price
库存|in stock
销量|Sold
此处没有东西|Nothing here
筛选|filter
关闭|close
品牌|Brands
商品搜索|product search
搜索|search
最近搜索|Recent Searches
点击关闭|Click to close
店铺街|Market
筛选|filter
店铺街分类|Store Street Category
清空搜索|Empty search
搜索|search
分类|classification
店铺信息商品滚动|store info product ticker
已经有|already have
人关注|Followers
已关注|subscribed
关注|subscribe
商品|products
服务|service
时效|time limit
全部商品|all products
新品|New
促销|Promotions
在线客服|online agent
店铺二维码|Store QR Code
邀请好友扫一扫分享店铺给|Invite friends to scan and share the store
商家电话|Business Phone
店铺简介|About shop
证照信息|License information
公司名称|company name
所在地区|Region
主营品牌|Main brands
商家等级|Merchant Level
商城网店经营者营业执照信息|Mall store operators business license information
企业名称|Company Name
营业执照注册号|Business license registration number
法定代表名称|The name of the legal representative
营业执照所在地|Business license location
企业注册资金|Enterprises registered capital
万元|Ten thousand Dollars
营业执照有效期|Valid business license
营业执照经营范围|Business License Business
公司地址|company address
店铺名称|Store Name
以上营业执照信息|Above business license information
根据国家工商总局|According to the State Administration for Industry and Commerce
网络交易管理办法|Online Trading Management Method
要求对入驻商家营业执照信息进行公示|required new merchant to show commercial certificate to the public 
除企业名称通过认证之外|besides company name check need to be passed
其余信息由卖家自行申报填写|the remaining inform could be freely filled out the merchant
如需进一步核实|For further verification
请联系当地工商行政管理部门|contact your local authority 
快捷导航|Quick Navigation
店铺街|Market
店铺|Store
店铺关注|Store subscribers
已关注|subscribed
关注|subscribe
请登录后关注该店铺|Please login to subscribe to this store
立即登录|log in immediately
取消|cancel
商品搜索|product search
已经有|already have
人关注|Followers
已关注|subscribed
关注|subscribe
全部商品|all products
新品|New
推荐|recommend
领取优惠券|claim coupons
热门商品|Popular product
库存|in stock
销量|Sold
查看更多|see more
店铺详情|Store details
热门分类|Top Categories
客服|Customer Service
客服|Customer Service
旺旺|Wang Wang
美恰|Mei Qia
商品搜索|product search
搜索|search
商品搜索|product search
搜索|search
最近搜索|Recent Searches
点击关闭|Click to close
领取优惠券|claim coupons
领取店铺优惠券|Receive store coupons
优惠卷|voucher
优惠卷|voucher
快捷导航|Quick Navigation
店铺街|Market
店铺关注|Store subscribers
已关注|subscribed
关注|subscribe
请登录后关注该店铺|Please login to subscribe to this store
立即登录|log in immediately
取消|cancel
弹出优惠券|Pop-up coupons
还未登录|Not logged in
请登录之后领取|Please log in after receiving
确定|confirm
取消|cancel
清空搜索|Empty search
搜索|search
分类|classification
商品详情相册切换|change Product Details album
快捷导航|Quick Navigation
优化快捷导航|Optimization quick navigation
自营的首页|Self-employed home
商家的店铺页|Merchant shop page
平台的专题页|Platform Featured Pages
快捷导航|Quick Navigation
快捷导航|Quick Navigation
页面向上滚动|Page scroll up
下有|There are lower
所以用以下方式|so use the following method
点击关闭顶部层|to close top layer
商品搜索|product search
搜索|search
最近搜索|Recent Searches
点击关闭|Click to close
处理|process
定位失败|Positioning failed
立即购买|Buy now
快捷导航|Quick Navigation
专题列表|Theme list
此处没有内容|There is no content here
快捷导航|Quick Navigation
异步数据|Asynchronous data
充值提交申请|Recharge submission
账户充值|Account refill
支付方式|payment method
手续费|Fees
支付方式描述|Payment Description
取消|cancel
提现|withdraw
银行卡|Bank card
支付方式|payment method
手续费|Fees
支付方式描述|Payment Description
会员备注|Members Remarks
管理员备注|Administrators Remarks
未确认|unconfirmed
取消|cancel
取消|cancel
是否确定要取消此次申请|Are you sure you want to cancel this request
确定|confirm
取消|cancel
提现账户|Account withdrawals
选择银行卡弹出层|Select bank card ejection layer
选择银行卡|Select bank card
提现金额|Withdrawal Amount
请输入提现金额|Enter the withdrawal amount
最低可提现金额|The lowest amount of withdrawals
不限|Any
本次最大提现额度|The maximum cash withdrawal limit
手续费|Fees
图片验证码|Picture Code
请输入图片验证码|Please enter the image verification code
短信验证码|SMS verification code
请输入短信验证码|Please enter the verification code SMS
发送验证码|Send the verification code
获取短信验证码|obtain SMS verification code
提交申请|submit application
弹窗|Pop-ups
请填写提现金额|Please fill in the amount of withdrawals
验证码校验|Check codes
请输入图片验证码|Please enter the image verification code
请输入短信验证码|Please enter the verification code SMS
发送验证码|Send the verification code
重新获取|Reacquire
请输入图片验证码|Please enter the image verification code
请输入手机号|Please enter phone number
发送频繁|Send frequent
请输入红包口令|Please enter a password red envelope
请输入红包密码|Please enter the password red envelope
提交|submit
快捷导航|Quick Navigation
我的红包|My red envelopes
请输入红包口令|Please enter a password red envelope
请输入红包密码|Please enter the password red envelope
卡号|card number
银行卡号|Bank card number
持卡人|cardholder
持卡人姓名|Cardholder's Name
开户行|Bank
工商银行上海|ICBC Shanghai
路支行|Road Branch
银行|bank
工商银行|ICBC
提交|submit
快捷导航|Quick Navigation
资金管理|Money management
银行卡|Bank card
请输入完整的信息|Please enter complete information
储值卡卡号|Stored value card number
请输入储值卡卡号|Please enter the stored value card number
储值卡密码|Stored value card password
请输入储值卡密码|Please enter the password stored value card
请输入图片验证码|Please enter the image verification code
请输入验证码|please enter verification code
绑定当前账户|Binding current account
引用|Quote
快捷导航|Quick Navigation
储值卡|stored value card
未使用|Unused
已使用|Used
已过期|expired
元可用|Dollars available
去使用|Use Now
查看订单|check order
使用期限|Period of use
还没有红包哦|Oh no red envelopes
兑换红包|Exchange red envelopes
引用|Quote
快捷导航|Quick Navigation
资金管理|Money management
切换选项卡|Switch tabs
去使用|To use
尾号|Tail number
添加银行卡|Adding card
快捷导航|Quick Navigation
资金管理|Money management
我的优惠券|my discount coupon
未使用|Unused
已使用|Used
已过期|expired
免邮|Free postage
元可用|Dollars available
元可用|Dollars available
立即|immediately
使用|use
已使用|Used
已过期|expired
还没有优惠券哦|Oh no coupons
快捷导航|Quick Navigation
调整子菜单样式|Adjustment sub menu style
列表|List
充值金额|Recharge amount
请输入充值金额|Please enter the recharge amount
最低充值金额|The minimum recharge amount
不限|Any
备注|Remark
选填|Optional
充值方式|Deposit methods
充值方式弹出层|Recharge mode pop-up layer
充值方式|Deposit methods
手续费|Fees
提交申请|submit application
弹窗|Pop-ups
快捷导航|Quick Navigation
资金管理|Money management
此处没有内容|There is no content here
快捷导航|Quick Navigation
资金管理|Money management
正在加载|loading
加载更多|load more
正在加载|loading
没有更多了|No more
可用余额|Available Balance
冻结余额|Freezed Balance
充值|Recharge
提现|withdraw
快捷导航|Quick Navigation
此处没有内容|There is no content here
快捷导航|Quick Navigation
资金管理|Money management
正在加载|loading
加载更多|load more
正在加载|loading
没有更多了|No more
此处没有内容|There is no content here
快捷导航|Quick Navigation
资金管理|Money management
正在加载|loading
加载更多|load more
正在加载|loading
没有更多了|No more
充值卡卡号|Recharge card number
请输入充值卡卡号|Please enter the recharge card number
充值卡密码|Prepaid card code
请输入充值卡密码|Please enter the recharge card password
请输入图片验证码|Please enter the image verification code
请输入验证码|please enter verification code
绑定当前账户|Binding current account
引用|Quote
快捷导航|Quick Navigation
储值卡|stored value card
已激活|activated
已过期|expired
金额|Money
查看详情|see details
过期时间|expire date
面值|face value
还没有储值卡哦|Oh no stored value card
绑定储值卡|Binding stored value card
快捷导航|Quick Navigation
资金管理|Money management
编号|Numbering
订单号|order number
使用时间|usage time
